epoch,subset,total_cases,rank1,rank2,rank5,rank
255,train,230,207,219,227,228
255,test,66,29,34,38,46
260,train,230,203,216,227,229
260,test,66,30,34,37,42
265,train,230,194,216,225,227
265,test,66,29,33,35,44
270,train,230,203,221,230,230
270,test,66,34,36,39,47
275,train,230,208,221,227,228
275,test,66,28,34,37,43
280,train,230,201,215,222,225
280,test,66,32,35,39,45
285,train,230,203,217,229,229
285,test,66,32,35,38,44
290,train,230,206,220,227,229
290,test,66,32,36,41,44
295,train,230,208,221,229,230
295,test,66,35,38,40,45
300,train,230,202,216,223,229
300,test,66,28,33,41,46
305,train,230,210,224,230,230
305,test,66,32,36,38,42
310,train,230,205,216,228,230
310,test,66,33,36,40,44
315,train,230,210,218,224,230
315,test,66,31,34,42,47
320,train,230,208,224,227,230
320,test,66,35,38,41,46
325,train,230,207,220,228,230
325,test,66,32,36,43,47
330,train,230,209,221,229,230
330,test,66,31,35,42,47
335,train,230,209,221,229,230
335,test,66,33,37,42,47
340,train,230,209,221,226,229
340,test,66,31,34,39,45
345,train,230,210,223,229,230
345,test,66,31,35,40,43
350,train,230,215,225,227,229
350,test,66,32,35,40,45
355,train,230,205,217,226,229
355,test,66,32,38,40,45
360,train,230,212,221,228,230
360,test,66,32,37,41,46
365,train,230,207,223,228,230
365,test,66,28,34,44,45
370,train,230,211,223,229,230
370,test,66,32,35,41,45
375,train,230,209,220,229,230
375,test,66,31,37,39,44
380,train,230,208,220,228,230
380,test,66,33,39,41,46
385,train,230,206,220,230,230
385,test,66,31,36,41,47
390,train,230,213,221,228,228
390,test,66,32,37,42,46
395,train,230,204,218,224,230
395,test,66,33,36,43,45
400,train,230,210,224,229,230
400,test,66,33,37,43,47
405,train,230,213,226,229,229
405,test,66,32,38,40,46
410,train,230,219,226,230,230
410,test,66,33,38,42,46
415,train,230,213,225,228,230
415,test,66,31,37,42,47
0,train,230,187,202,222,227
0,test,66,32,39,44,48
5,train,230,188,212,222,228
5,test,66,32,34,41,47
10,train,230,198,211,226,229
10,test,66,34,36,40,45
15,train,230,191,211,225,228
15,test,66,35,36,41,46
20,train,230,184,209,221,228
20,test,66,31,36,39,49
25,train,230,200,216,227,230
25,test,66,34,37,41,45
30,train,230,187,210,226,230
30,test,66,34,39,41,45
35,train,230,199,214,226,229
35,test,66,30,38,41,49
40,train,230,197,217,227,230
40,test,66,34,37,40,47
45,train,230,190,210,223,228
45,test,66,33,37,38,49
50,train,230,187,214,223,229
50,test,66,33,36,41,45
55,train,230,194,213,224,229
55,test,66,35,38,39,43
60,train,230,202,214,224,228
60,test,66,33,38,43,48
65,train,230,188,213,223,228
65,test,66,34,38,39,45
70,train,230,198,218,227,230
70,test,66,32,38,40,44
75,train,230,194,215,224,229
75,test,66,27,38,42,45
80,train,230,193,217,224,226
80,test,66,30,36,40,43
85,train,230,192,215,223,228
85,test,66,34,38,43,47
90,train,230,201,214,226,230
90,test,66,35,38,43,46
95,train,230,179,203,222,229
95,test,66,28,36,38,42
100,train,230,197,219,225,228
100,test,66,30,40,42,48
105,train,230,196,214,224,229
105,test,66,32,36,42,46
110,train,230,204,214,228,229
110,test,66,31,37,42,47
115,train,230,186,205,225,229
115,test,66,27,34,39,41
120,train,230,195,210,224,228
120,test,66,32,36,43,48
125,train,230,196,219,226,229
125,test,66,32,39,44,47
130,train,230,183,209,222,229
130,test,66,34,39,44,49
135,train,230,209,221,227,229
135,test,66,37,39,41,48
140,train,230,201,220,228,229
140,test,66,34,39,43,47
145,train,230,195,213,225,228
145,test,66,34,37,41,47
150,train,230,197,213,224,228
150,test,66,28,36,43,44
155,train,230,198,218,227,230
155,test,66,34,37,39,42
160,train,230,186,212,223,229
160,test,66,36,38,43,47
165,train,230,193,216,225,229
165,test,66,34,38,42,46
170,train,230,206,215,228,229
170,test,66,35,40,43,46
175,train,230,200,216,223,226
175,test,66,31,38,42,48
180,train,230,203,223,230,230
180,test,66,31,37,43,44
185,train,230,195,212,227,229
185,test,66,35,38,42,50
190,train,230,198,215,226,229
190,test,66,32,37,42,46
195,train,230,207,221,227,230
195,test,66,33,35,41,48
200,train,230,208,224,227,229
200,test,66,34,40,44,49
205,train,230,205,218,227,228
205,test,66,34,39,41,47
210,train,230,199,212,224,228
210,test,66,29,37,41,47
215,train,230,206,226,230,230
215,test,66,33,42,46,50
220,train,230,206,220,227,228
220,test,66,34,37,43,46
225,train,230,210,222,225,230
225,test,66,35,40,43,48
230,train,230,204,219,228,229
230,test,66,35,37,42,47
235,train,230,201,219,224,229
235,test,66,33,40,43,50
240,train,230,188,211,225,229
240,test,66,36,40,45,47
245,train,230,211,220,228,229
245,test,66,36,41,43,48
250,train,230,206,225,230,230
250,test,66,31,40,43,48
255,train,230,204,217,228,229
255,test,66,31,38,46,50
260,train,230,207,220,226,229
260,test,66,35,39,44,49
