epoch,subset,total_cases,rank1,rank2,rank5,rank
265,train,307,286,293,305,306
265,test,126,40,59,74,87
270,train,307,276,289,296,301
270,test,126,31,54,74,84
275,train,307,297,303,307,307
275,test,126,47,60,73,88
280,train,307,291,302,306,307
280,test,126,43,55,75,83
285,train,307,294,302,307,307
285,test,126,36,46,68,81
290,train,307,290,300,305,305
290,test,126,45,52,70,88
295,train,307,283,295,302,305
295,test,126,33,44,63,78
300,train,307,290,301,304,304
300,test,126,40,50,69,82
305,train,307,289,301,306,306
305,test,126,40,53,67,76
310,train,307,288,301,306,307
310,test,126,37,48,67,81
315,train,307,292,304,306,307
315,test,126,41,58,78,86
320,train,307,292,303,306,306
320,test,126,48,57,71,84
325,train,307,297,302,306,307
325,test,126,49,61,76,89
330,train,307,280,294,304,307
330,test,126,53,67,81,86
335,train,307,298,304,306,307
335,test,126,46,57,73,79
340,train,307,294,301,305,305
340,test,126,46,58,79,91
345,train,307,298,302,305,306
345,test,126,40,59,80,91
350,train,307,295,303,305,307
350,test,126,46,66,75,89
355,train,307,291,301,307,307
355,test,126,52,63,78,82
360,train,307,297,304,306,306
360,test,126,46,60,76,90
365,train,307,294,303,306,306
365,test,126,44,60,74,86
370,train,307,295,302,307,307
370,test,126,46,61,74,90
375,train,307,290,302,304,306
375,test,126,44,65,74,87
380,train,307,295,304,307,307
380,test,126,46,59,77,90
385,train,307,286,297,304,305
385,test,126,47,60,80,90
390,train,307,300,307,307,307
390,test,126,47,63,75,92
395,train,307,294,302,306,307
395,test,126,44,62,77,83
400,train,307,285,296,303,306
400,test,126,46,60,74,84
405,train,307,295,304,304,304
405,test,126,51,64,75,86
410,train,307,297,304,306,307
410,test,126,50,64,77,89
415,train,307,297,303,307,307
415,test,126,51,65,78,87
420,train,307,297,303,307,307
420,test,126,45,61,76,89
425,train,307,298,305,305,306
425,test,126,45,60,79,89
430,train,307,302,305,307,307
430,test,126,46,63,75,85
435,train,307,298,305,305,307
435,test,126,41,64,80,87
440,train,307,301,306,307,307
440,test,126,41,60,79,86
445,train,307,297,305,307,307
445,test,126,42,59,74,86
450,train,307,300,305,306,306
450,test,126,48,57,72,87
455,train,307,301,306,307,307
455,test,126,49,54,74,89
460,train,307,298,303,306,307
460,test,126,42,60,76,86
465,train,307,304,306,307,307
465,test,126,46,58,78,87
470,train,307,297,305,306,307
470,test,126,51,66,82,91
0,train,307,238,264,277,290
0,test,126,52,69,82,88
5,train,307,236,255,286,295
5,test,126,43,61,72,84
10,train,307,235,256,279,294
10,test,126,53,66,82,91
15,train,307,240,260,278,290
15,test,126,42,61,78,88
20,train,307,248,272,292,302
20,test,126,35,49,69,84
25,train,307,254,268,285,294
25,test,126,44,58,81,85
30,train,307,258,275,294,300
30,test,126,47,56,75,85
35,train,307,259,284,293,298
35,test,126,45,60,78,85
40,train,307,236,275,293,301
40,test,126,44,57,74,89
45,train,307,257,279,297,300
45,test,126,33,54,67,77
50,train,307,257,285,301,305
50,test,126,35,53,69,80
55,train,307,249,273,291,302
55,test,126,53,59,79,89
